Symbol,Year,Dividend Date,Market Capitalization,Count of total dividends paid for that year,How much was paid,Price at Beginning of Year,Price at End of Year
SBUX,2022,11/09/2022,114066800640.0,4.0,0.53,112.84120178222656,98.21634674072266
ECL,2021,03/15/2021,49285206016.0,4.0,0.48,208.83242797851562,230.04591369628906
ECL,2021,06/14/2021,49285206016.0,4.0,0.48,208.83242797851562,230.04591369628906
ECL,2021,09/13/2021,49285206016.0,4.0,0.48,208.83242797851562,230.04591369628906
ECL,2021,12/13/2021,49285206016.0,4.0,0.51,208.83242797851562,230.04591369628906
ECL,2022,03/14/2022,49285206016.0,4.0,0.51,225.9367218017578,145.06092834472656
ECL,2022,06/17/2022,49285206016.0,4.0,0.51,225.9367218017578,145.06092834472656
ECL,2022,09/19/2022,49285206016.0,4.0,0.51,225.9367218017578,145.06092834472656
ECL,2022,12/19/2022,49285206016.0,4.0,0.53,225.9367218017578,145.06092834472656
CVX,2021,02/16/2021,296056422400.0,4.0,1.29,76.26488494873047,111.26425170898438
CVX,2021,05/18/2021,296056422400.0,4.0,1.34,76.26488494873047,111.26425170898438
CVX,2021,08/18/2021,296056422400.0,4.0,1.34,76.26488494873047,111.26425170898438
CVX,2021,11/17/2021,296056422400.0,4.0,1.34,76.26488494873047,111.26425170898438
CVX,2022,02/15/2022,296056422400.0,4.0,1.42,112.9981689453125,176.1918182373047
CVX,2022,05/18/2022,296056422400.0,4.0,1.42,112.9981689453125,176.1918182373047
CVX,2022,08/18/2022,296056422400.0,4.0,1.42,112.9981689453125,176.1918182373047
CVX,2022,11/17/2022,296056422400.0,4.0,1.42,112.9981689453125,176.1918182373047
PSEC,2021,01/28/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,02/25/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,03/30/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,04/19/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,04/29/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,05/26/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,06/25/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,07/27/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,08/26/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,09/27/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,10/26/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,11/24/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2021,12/28/2021,2521599488.0,13.0,0.06,4.357766628265381,7.29340934753418
PSEC,2022,01/26/2022,2521599488.0,12.0,0.06,7.432829856872559,6.6969709396362305
PSEC,2022,02/23/2022,2521599488.0,12.0,0.06,7.432829856872559,6.6969709396362305
PSEC,2022,03/28/2022,2521599488.0,12.0,0.06,7.432829856872559,6.6969709396362305
PSEC,2022,04/26/2022,2521599488.0,12.0,0.06,7.432829856872559,6.6969709396362305
PSEC,2022,05/26/2022,2521599488.0,12.0,0.06,7.432829856872559,6.6969709396362305
PSEC,2022,06/27/2022,2521599488.0,12.0,0.06,7.432829856872559,6.6969709396362305
PSEC,2022,07/26/2022,2521599488.0,12.0,0.06,7.432829856872559,6.6969709396362305
